BHID,FROM,TO,LITO
DH0002,96.85,97.93,DUN
DH0002,97.93,98.99,DUN
DH0002,98.99,100.8,DUN
DH0002,100.8,101.87,DUN
DH0002,101.87,103.52,DUN
DH0002,103.52,104.59,DUN
DH0002,104.59,106.34,PER
DH0002,106.34,108.08,DUN
DH0002,108.08,109.83,PER
DH0002,109.83,111.41,DUN
DH0002,111.41,112.75,DUN
DH0003,0.0,1.42,LAT
DH0003,1.42,3.25,SAP
DH0003,3.25,4.88,SAP
DH0003,4.88,6.1,SAP
DH0003,6.1,7.29,SAP
DH0003,7.29,8.32,SAP
DH0003,8.32,9.36,SAP
DH0003,9.36,10.94,SAP
DH0003,10.94,12.79,LAT
DH0003,12.79,14.36,SAP
DH0003,14.36,16.12,SAP
DH0003,16.12,17.71,SAP
DH0003,17.71,19.42,SAP
DH0003,19.42,20.94,SAP
DH0003,20.94,22.54,SAP
DH0003,22.54,23.71,SAP
DH0003,23.71,24.98,SAP
DH0003,24.98,26.65,LAT
DH0003,26.65,28.49,LAT
DH0003,28.49,30.06,SAP
DH0003,30.06,31.41,SAP
DH0003,31.41,33.3,LAT
DH0003,33.3,35.03,SAP
DH0003,35.03,37.01,SAP
DH0003,37.01,38.94,SAP
DH0003,38.94,40.21,SAP
DH0003,40.21,41.51,SAP
DH0003,41.51,43.19,SAP
DH0003,43.19,44.34,SAP
DH0003,44.34,46.14,LAT
DH0003,46.14,47.63,LAT
DH0003,47.63,48.69,LAT
DH0003,48.69,50.55,LAT
DH0003,50.55,51.75,LAT
DH0003,51.75,53.61,LAT
DH0003,53.61,54.73,LAT
DH0003,54.73,56.38,LAT
DH0003,56.38,57.52,LAT
DH0003,57.52,58.8,FRS
DH0003,58.8,59.95,LAT
DH0003,59.95,61.74,LAT
DH0003,61.74,63.62,LAT
DH0003,63.62,65.08,LAT
DH0003,65.08,66.12,LAT
DH0003,66.12,67.88,LAT
DH0003,67.88,69.88,FRS
DH0003,69.88,71.39,FRS
DH0003,71.39,72.89,LAT
DH0003,72.89,74.05,LAT
DH0003,74.05,75.22,LAT
DH0003,75.22,76.35,FRS
DH0003,76.35,77.73,LAT
DH0003,77.73,78.97,LAT
DH0003,78.97,80.23,FRS
DH0003,80.23,82.08,FRS
DH0003,82.08,84.05,LAT
DH0003,84.05,86.04,LAT
DH0003,86.04,87.87,FRS
DH0003,87.87,89.8,LAT
DH0003,89.8,91.05,LAT
DH0003,91.05,92.62,FRS
DH0003,92.62,94.03,LAT
DH0003,94.03,95.31,LAT
DH0003,95.31,96.59,LAT
DH0003,96.59,97.76,LAT
DH0003,97.76,99.69,FRS
DH0003,99.69,101.59,LAT
DH0003,101.59,102.71,FRS
DH0003,102.71,103.74,FRS
DH0003,103.74,105.04,FRS
DH0003,105.04,106.09,LAT
DH0003,106.09,107.66,LAT
DH0003,107.66,109.02,LAT
DH0003,109.02,110.5,DUN
DH0003,110.5,112.31,DUN
DH0003,112.31,113.42,DUN
DH0003,113.42,114.46,FRS
DH0003,114.46,116.02,DUN
DH0003,116.02,117.14,FRS
DH0003,117.14,118.69,FRS
DH0003,118.69,120.3,FRS
DH0003,120.3,121.97,FRS
DH0003,121.97,123.16,FRS
DH0003,123.16,124.39,FRS
DH0003,124.39,126.32,DUN
DH0003,126.32,127.85,FRS
DH0003,127.85,129.68,FRS
DH0003,129.68,131.06,DUN
DH0003,131.06,132.54,FRS
DH0003,132.54,133.81,FRS
DH0003,133.81,135.16,FRS
DH0003,135.16,136.82,FRS
DH0003,136.82,138.04,FRS
DH0003,138.04,139.46,DUN
DH0003,139.46,140.47,FRS
DH0003,140.47,142.34,DUN
DH0003,142.34,143.38,FRS
DH0003,143.38,145.17,FRS
DH0003,145.17,146.57,DUN
DH0003,146.57,148.47,FRS
DH0003,148.47,149.9,DUN
DH0003,149.9,151.83,FRS
DH0003,151.83,153.7,FRS
DH0003,153.7,155.14,FRS
DH0003,155.14,156.3,FRS
DH0003,156.3,157.57,FRS
DH0003,157.57,158.63,FRS
DH0003,158.63,159.89,DUN
DH0003,159.89,161.12,FRS
DH0003,161.12,162.94,FRS
DH0003,162.94,164.3,FRS
DH0003,164.3,165.88,DUN
DH0003,165.88,167.5,FRS
DH0003,167.5,168.7,DUN
DH0003,168.7,170.26,DUN
DH0003,170.26,171.36,FRS
DH0003,171.36,173.04,FRS
DH0003,173.04,174.31,DUN
DH0003,174.31,175.55,DUN
DH0003,175.55,176.59,DUN
DH0003,176.59,178.52,DUN
DH0003,178.52,179.55,DUN
DH0003,179.55,180.72,DUN
DH0003,180.72,182.22,DUN
DH0003,182.22,183.56,PER
DH0003,183.56,185.09,DUN
DH0003,185.09,186.77,DUN
DH0003,186.77,188.4,DUN
DH0003,188.4,189.96,DUN
DH0003,189.96,191.74,DUN
DH0003,191.74,192.75,DUN
DH0003,192.75,194.13,DUN
DH0003,194.13,195.22,DUN
DH0003,195.22,197.22,DUN
DH0003,197.22,198.52,DUN
DH0003,198.52,200.16,DUN
DH0003,200.16,201.86,DUN
DH0003,201.86,203.04,DUN
DH0003,203.04,204.66,PER
DH0003,204.66,206.2,DUN
DH0003,206.2,207.44,DUN
DH0003,207.44,209.05,PER
DH0003,209.05,210.78,DUN
DH0003,210.78,212.34,DUN
DH0003,212.34,214.1,DUN
DH0003,214.1,215.56,DUN
DH0003,215.56,215.96,DUN
DH0004,0.0,1.66,LAT
DH0004,1.66,2.77,LAT
DH0004,2.77,3.83,LAT
DH0004,3.83,4.99,SAP
DH0004,4.99,6.38,SAP
DH0004,6.38,8.25,SAP
DH0004,8.25,10.16,SAP
DH0004,10.16,11.59,SAP
DH0004,11.59,13.22,LAT
DH0004,13.22,14.35,LAT
DH0004,14.35,15.86,SAP
DH0004,15.86,17.67,LAT
DH0004,17.67,19.11,SAP
DH0004,19.11,20.33,SAP
DH0004,20.33,21.68,LAT
DH0004,21.68,23.46,SAP
DH0004,23.46,25.09,SAP
DH0004,25.09,26.85,LAT
DH0004,26.85,28.04,LAT
DH0004,28.04,29.55,LAT
DH0004,29.55,30.62,LAT
DH0004,30.62,32.58,LAT
DH0004,32.58,33.66,LAT
DH0004,33.66,34.9,LAT
DH0004,34.9,36.46,LAT
DH0004,36.46,37.95,LAT
DH0004,37.95,39.68,LAT
DH0004,39.68,40.86,FRS
DH0004,40.86,41.93,LAT
DH0004,41.93,43.76,LAT
DH0004,43.76,45.09,FRS
DH0004,45.09,46.93,FRS
DH0004,46.93,48.33,LAT
DH0004,48.33,49.73,LAT
DH0004,49.73,51.14,LAT
DH0004,51.14,52.62,LAT
DH0004,52.62,54.4,LAT
DH0004,54.4,56.19,FRS
DH0004,56.19,57.61,LAT
DH0004,57.61,59.35,LAT
DH0004,59.35,60.75,LAT
DH0004,60.75,62.64,LAT
DH0004,62.64,63.82,FRS
DH0004,63.82,65.13,FRS
DH0004,65.13,66.22,FRS
DH0004,66.22,67.5,FRS
DH0004,67.5,69.07,FRS
DH0004,69.07,71.06,DUN
DH0004,71.06,72.28,FRS
DH0004,72.28,73.96,FRS
DH0004,73.96,75.17,DUN
DH0004,75.17,76.47,DUN
DH0004,76.47,77.6,FRS
DH0004,77.6,78.81,FRS
DH0004,78.81,80.04,FRS
DH0004,80.04,81.83,DUN
DH0004,81.83,82.89,FRS
DH0004,82.89,84.2,DUN
DH0004,84.2,85.89,DUN
DH0004,85.89,87.4,FRS
DH0004,87.4,89.26,FRS
DH0004,89.26,90.92,DUN
DH0004,90.92,92.66,FRS
DH0004,92.66,93.83,FRS
DH0004,93.83,95.0,DUN
DH0004,95.0,96.72,FRS
DH0004,96.72,98.43,FRS
DH0004,98.43,100.12,FRS
DH0004,100.12,102.01,DUN
DH0004,102.01,103.64,DUN
DH0004,103.64,104.65,DUN
DH0004,104.65,106.01,DUN
DH0004,106.01,107.52,DUN
DH0004,107.52,109.11,DUN
DH0004,109.11,110.76,DUN
DH0004,110.76,112.51,DUN
DH0004,112.51,114.44,DUN
DH0004,114.44,115.44,PER
DH0004,115.44,117.36,DUN
DH0004,117.36,118.71,DUN
DH0004,118.71,120.52,DUN
DH0004,120.52,122.02,PER
DH0004,122.02,123.92,DUN
DH0005,0.0,1.99,LAT
DH0005,1.99,3.33,LAT
DH0005,3.33,4.4,SAP
DH0005,4.4,5.77,LAT
DH0005,5.77,7.07,SAP
DH0005,7.07,8.71,SAP
DH0005,8.71,9.88,LAT
DH0005,9.88,11.16,SAP
DH0005,11.16,12.32,SAP
DH0005,12.32,13.97,SAP
DH0005,13.97,15.38,SAP
DH0005,15.38,17.33,SAP
DH0005,17.33,18.67,SAP
DH0005,18.67,19.98,SAP
DH0005,19.98,21.8,SAP
DH0005,21.8,23.4,SAP
DH0005,23.4,24.87,LAT
DH0005,24.87,26.48,SAP
DH0005,26.48,28.39,SAP
DH0005,28.39,30.27,SAP
DH0005,30.27,32.19,SAP
DH0005,32.19,33.24,SAP
DH0005,33.24,35.16,SAP
DH0005,35.16,37.07,SAP
DH0005,37.07,38.5,FRS
DH0005,38.5,40.24,FRS
DH0005,40.24,41.29,LAT
DH0005,41.29,42.48,FRS
DH0005,42.48,43.77,FRS
DH0005,43.77,45.25,FRS
DH0005,45.25,46.5,LAT
DH0005,46.5,47.65,FRS
DH0005,47.65,49.42,FRS
DH0005,49.42,51.32,LAT
DH0005,51.32,52.71,LAT
DH0005,52.71,54.56,LAT
DH0005,54.56,56.1,FRS
DH0005,56.1,57.66,FRS
DH0005,57.66,59.61,FRS
DH0005,59.61,60.91,LAT
DH0005,60.91,62.29,FRS
DH0005,62.29,63.96,FRS
DH0005,63.96,65.49,LAT
DH0005,65.49,66.93,LAT
DH0005,66.93,68.85,LAT
DH0005,68.85,70.33,LAT
DH0005,70.33,71.57,LAT
DH0005,71.57,73.34,LAT
DH0005,73.34,74.6,LAT
DH0005,74.6,75.93,LAT
DH0005,75.93,77.22,FRS
DH0005,77.22,78.98,LAT
DH0005,78.98,80.23,LAT
DH0005,80.23,81.33,LAT
DH0005,81.33,83.26,LAT
DH0005,83.26,84.66,FRS
DH0005,84.66,85.97,LAT
DH0005,85.97,87.28,LAT
DH0005,87.28,88.6,LAT
DH0005,88.6,90.37,LAT
DH0005,90.37,91.76,DUN
DH0005,91.76,93.7,FRS
DH0005,93.7,95.44,FRS
DH0005,95.44,96.74,DUN
DH0005,96.74,98.54,FRS
DH0005,98.54,100.49,FRS
DH0005,100.49,101.93,DUN
DH0005,101.93,103.1,FRS
DH0005,103.1,104.25,FRS
DH0005,104.25,105.95,FRS
DH0005,105.95,106.99,FRS
DH0005,106.99,108.49,DUN
DH0005,108.49,109.95,FRS
DH0005,109.95,111.65,FRS
DH0005,111.65,113.07,DUN
DH0005,113.07,114.62,FRS
DH0005,114.62,116.48,FRS
DH0005,116.48,117.78,DUN
DH0005,117.78,119.72,FRS
DH0005,119.72,120.9,DUN
DH0005,120.9,122.18,FRS
DH0005,122.18,123.65,FRS
DH0005,123.65,125.08,FRS
DH0005,125.08,126.97,DUN
DH0005,126.97,128.25,DUN
DH0005,128.25,129.53,FRS
DH0005,129.53,130.79,FRS
DH0005,130.79,132.75,DUN
DH0005,132.75,133.77,FRS
DH0005,133.77,135.5,DUN
DH0005,135.5,136.67,DUN
DH0005,136.67,138.27,FRS
DH0005,138.27,139.89,FRS
DH0005,139.89,141.27,FRS
DH0005,141.27,142.85,FRS
DH0005,142.85,144.07,DUN
DH0005,144.07,145.64,PER
DH0005,145.64,147.51,DUN
DH0005,147.51,148.91,PER
DH0005,148.91,150.87,DUN
DH0005,150.87,152.61,DUN
DH0005,152.61,153.96,DUN
DH0005,153.96,155.94,DUN
DH0005,155.94,157.92,DUN
DH0005,157.92,159.6,DUN
DH0005,159.6,160.81,PER
DH0005,160.81,162.35,DUN
DH0005,162.35,163.57,DUN
DH0005,163.57,165.54,PER
DH0005,165.54,166.61,DUN
DH0005,166.61,168.46,DUN
DH0005,168.46,169.52,DUN
DH0005,169.52,171.28,DUN
DH0005,171.28,172.73,DUN
DH0005,172.73,173.89,DUN
DH0005,173.89,175.36,DUN
DH0005,175.36,176.88,DUN
DH0005,176.88,177.43,DUN
DH0006,0.0,1.13,LAT
DH0006,1.13,2.91,LAT
DH0006,2.91,4.56,SAP
DH0006,4.56,5.64,SAP
DH0006,5.64,6.8,SAP
DH0006,6.8,8.27,SAP
DH0006,8.27,9.38,SAP
DH0006,9.38,10.77,LAT
DH0006,10.77,12.04,SAP
DH0006,12.04,13.06,SAP
DH0006,13.06,14.72,LAT
DH0006,14.72,16.08,LAT
DH0006,16.08,18.01,SAP
DH0006,18.01,19.98,SAP
DH0006,19.98,21.25,SAP
DH0006,21.25,22.84,LAT
DH0006,22.84,24.67,SAP
DH0006,24.67,25.86,SAP
DH0006,25.86,27.4,SAP
DH0006,27.4,28.59,SAP
DH0006,28.59,29.92,SAP
DH0006,29.92,31.5,LAT
DH0006,31.5,33.46,SAP
DH0006,33.46,35.24,LAT
DH0006,35.24,37.2,SAP
DH0006,37.2,38.38,SAP
DH0006,38.38,39.52,SAP
DH0006,39.52,41.12,LAT
DH0006,41.12,42.68,SAP
DH0006,42.68,43.79,SAP
DH0006,43.79,44.97,SAP
DH0006,44.97,46.12,LAT
DH0006,46.12,47.79,FRS
DH0006,47.79,48.83,LAT
DH0006,48.83,50.81,FRS
DH0006,50.81,52.61,LAT
DH0006,52.61,54.05,LAT
DH0006,54.05,55.79,LAT
DH0006,55.79,57.04,FRS
DH0006,57.04,58.67,LAT
DH0006,58.67,59.78,LAT
DH0006,59.78,61.78,LAT
DH0006,61.78,63.57,LAT
DH0006,63.57,64.84,FRS
DH0006,64.84,66.01,FRS
DH0006,66.01,67.08,LAT
DH0006,67.08,68.53,FRS
DH0006,68.53,69.89,FRS
DH0006,69.89,71.36,FRS
DH0006,71.36,72.96,FRS
DH0006,72.96,74.1,LAT
DH0006,74.1,75.84,LAT
DH0006,75.84,76.98,LAT
DH0006,76.98,77.99,LAT
DH0006,77.99,79.58,LAT
DH0006,79.58,80.99,LAT
DH0006,80.99,82.62,LAT
DH0006,82.62,84.19,FRS
DH0006,84.19,85.68,LAT
DH0006,85.68,87.01,FRS
DH0006,87.01,88.39,LAT
DH0006,88.39,89.61,LAT
DH0006,89.61,90.69,FRS
DH0006,90.69,92.28,LAT
DH0006,92.28,94.06,FRS
DH0006,94.06,95.14,LAT
DH0006,95.14,96.42,LAT
DH0006,96.42,97.76,LAT
DH0006,97.76,99.37,LAT
DH0006,99.37,101.14,FRS
DH0006,101.14,102.62,FRS
DH0006,102.62,104.43,FRS
DH0006,104.43,106.08,LAT
DH0006,106.08,108.01,FRS
DH0006,108.01,109.69,LAT
DH0006,109.69,111.34,LAT
DH0006,111.34,112.41,FRS
DH0006,112.41,114.23,DUN
DH0006,114.23,115.78,FRS
DH0006,115.78,117.63,DUN
DH0006,117.63,118.73,FRS
DH0006,118.73,119.97,FRS
DH0006,119.97,121.09,FRS
DH0006,121.09,122.85,FRS
DH0006,122.85,124.8,FRS
DH0006,124.8,126.3,FRS
DH0006,126.3,127.63,FRS
DH0006,127.63,129.42,FRS
DH0006,129.42,130.88,FRS
DH0006,130.88,132.43,FRS
DH0006,132.43,133.69,FRS
DH0006,133.69,134.89,DUN
DH0006,134.89,136.46,FRS
DH0006,136.46,138.33,FRS
DH0006,138.33,139.41,FRS
DH0006,139.41,140.96,FRS
DH0006,140.96,142.07,FRS
DH0006,142.07,143.37,FRS
DH0006,143.37,144.45,FRS
DH0006,144.45,146.38,FRS
DH0006,146.38,148.26,DUN
DH0006,148.26,149.74,FRS
DH0006,149.74,150.81,FRS
DH0006,150.81,152.64,FRS
DH0006,152.64,154.13,FRS
DH0006,154.13,155.97,FRS
DH0006,155.97,157.29,FRS
DH0006,157.29,159.26,FRS
DH0006,159.26,160.4,FRS
DH0006,160.4,162.34,FRS
DH0006,162.34,163.41,DUN
DH0006,163.41,165.06,FRS
DH0006,165.06,166.19,FRS
DH0006,166.19,167.99,FRS
DH0006,167.99,169.7,FRS
DH0006,169.7,171.33,FRS
DH0006,171.33,172.5,FRS
DH0006,172.5,174.15,DUN
DH0006,174.15,175.76,FRS
DH0006,175.76,176.84,FRS
DH0006,176.84,178.39,FRS
DH0006,178.39,179.61,FRS
DH0006,179.61,180.71,DUN
DH0006,180.71,182.63,DUN
DH0006,182.63,184.0,PER
DH0006,184.0,185.56,DUN
DH0006,185.56,186.99,PER
DH0006,186.99,188.38,PER
DH0006,188.38,189.47,DUN
DH0006,189.47,190.91,DUN
DH0006,190.91,192.28,DUN
DH0006,192.28,193.8,DUN
DH0006,193.8,195.38,DUN
DH0006,195.38,196.89,DUN
DH0006,196.89,197.94,DUN
DH0006,197.94,199.45,DUN
DH0006,199.45,200.74,DUN
DH0006,200.74,202.56,DUN
DH0006,202.56,204.27,DUN
DH0006,204.27,205.84,PER
DH0006,205.84,207.51,DUN
DH0006,207.51,208.98,DUN
DH0006,208.98,210.81,DUN
DH0006,210.81,212.72,DUN
DH0006,212.72,213.97,DUN
DH0006,213.97,215.71,DUN
DH0006,215.71,217.41,PER
DH0006,217.41,218.74,DUN
DH0006,218.74,220.61,DUN
DH0006,220.61,221.92,DUN
DH0006,221.92,223.35,DUN
DH0006,223.35,223.57,PER
DH0007,0.0,1.16,LAT
DH0007,1.16,2.88,LAT
DH0007,2.88,3.99,SAP
DH0007,3.99,5.96,SAP
DH0007,5.96,7.15,SAP
DH0007,7.15,8.42,SAP
DH0007,8.42,9.49,LAT
DH0007,9.49,11.14,LAT
DH0007,11.14,12.26,SAP
DH0007,12.26,14.21,SAP
DH0007,14.21,15.43,LAT
DH0007,15.43,16.65,LAT
DH0007,16.65,18.57,LAT
DH0007,18.57,20.08,SAP
DH0007,20.08,21.26,SAP
DH0007,21.26,22.82,LAT
DH0007,22.82,24.43,SAP
DH0007,24.43,25.98,SAP
DH0007,25.98,26.99,LAT
DH0007,26.99,28.75,LAT
DH0007,28.75,30.1,SAP
DH0007,30.1,31.67,SAP
DH0007,31.67,33.24,LAT
DH0007,33.24,34.9,SAP
DH0007,34.9,36.76,LAT
DH0007,36.76,38.68,SAP
DH0007,38.68,39.8,SAP
DH0007,39.8,41.67,LAT
DH0007,41.67,43.39,LAT
DH0007,43.39,45.21,LAT
DH0007,45.21,46.35,FRS
DH0007,46.35,47.69,FRS
DH0007,47.69,49.48,LAT
DH0007,49.48,51.38,FRS
DH0007,51.38,52.62,LAT
DH0007,52.62,53.91,LAT
DH0007,53.91,55.25,FRS
DH0007,55.25,56.49,LAT
DH0007,56.49,58.02,FRS
DH0007,58.02,59.33,FRS
DH0007,59.33,61.13,LAT
DH0007,61.13,62.94,LAT
DH0007,62.94,64.76,FRS
DH0007,64.76,66.66,LAT
DH0007,66.66,67.75,LAT
DH0007,67.75,68.83,FRS
DH0007,68.83,69.92,FRS
DH0007,69.92,71.14,FRS
DH0007,71.14,72.14,LAT
DH0007,72.14,73.62,FRS
DH0007,73.62,74.93,LAT
DH0007,74.93,76.93,LAT
DH0007,76.93,78.21,FRS
DH0007,78.21,80.08,FRS
DH0007,80.08,81.37,FRS
DH0007,81.37,82.85,LAT
DH0007,82.85,84.79,FRS
DH0007,84.79,86.19,LAT
DH0007,86.19,87.71,LAT
DH0007,87.71,89.45,LAT
DH0007,89.45,90.51,LAT
DH0007,90.51,91.99,LAT
DH0007,91.99,93.2,FRS
DH0007,93.2,95.12,FRS
DH0007,95.12,96.74,LAT
DH0007,96.74,97.97,FRS
DH0007,97.97,98.99,LAT
DH0007,98.99,100.89,FRS
DH0007,100.89,102.2,LAT
DH0007,102.2,103.82,LAT
DH0007,103.82,105.01,DUN
DH0007,105.01,106.47,DUN
DH0007,106.47,107.98,FRS
DH0007,107.98,109.18,FRS
DH0007,109.18,110.24,FRS
DH0007,110.24,112.21,FRS
DH0007,112.21,113.39,FRS
DH0007,113.39,114.43,FRS
DH0007,114.43,115.47,FRS
DH0007,115.47,116.57,FRS
DH0007,116.57,118.33,FRS
DH0007,118.33,119.38,FRS
DH0007,119.38,120.61,DUN
DH0007,120.61,122.29,DUN
DH0007,122.29,123.69,DUN
DH0007,123.69,125.16,FRS
DH0007,125.16,126.57,FRS
DH0007,126.57,127.61,FRS
DH0007,127.61,129.44,DUN
DH0007,129.44,130.48,DUN
DH0007,130.48,131.56,DUN
DH0007,131.56,133.18,FRS
DH0007,133.18,134.95,FRS
DH0007,134.95,136.75,FRS
DH0007,136.75,138.62,FRS
DH0007,138.62,140.44,DUN
DH0007,140.44,141.93,FRS
DH0007,141.93,143.21,FRS
DH0007,143.21,145.05,FRS
DH0007,145.05,146.44,FRS
DH0007,146.44,147.46,FRS
DH0007,147.46,148.95,FRS
DH0007,148.95,150.2,DUN
DH0007,150.2,151.8,FRS
DH0007,151.8,152.98,FRS
DH0007,152.98,154.16,FRS
DH0007,154.16,155.9,FRS
DH0007,155.9,156.92,FRS
DH0007,156.92,158.0,FRS
DH0007,158.0,159.6,DUN
DH0007,159.6,160.66,FRS
DH0007,160.66,162.58,FRS
DH0007,162.58,164.49,DUN
DH0007,164.49,165.61,FRS
DH0007,165.61,167.09,DUN
DH0007,167.09,168.56,DUN
DH0007,168.56,170.29,PER
DH0007,170.29,171.56,PER
DH0007,171.56,172.78,DUN
DH0007,172.78,174.6,DUN
DH0007,174.6,176.18,DUN
DH0007,176.18,177.23,PER
DH0007,177.23,178.48,DUN
