BHID,FROM,TO,TARGET,NI,SI,MG
DH0001,52.94,54.09,South_Zone,2.346,26.18,8.35
DH0001,54.09,55.21,South_Zone,2.611,53.55,13.86
DH0001,55.21,57.06,South_Zone,2.12,43.53,13.28
DH0001,57.06,58.84,South_Zone,1.186,47.89,10.78
DH0001,58.84,60.76,South_Zone,0.297,56.71,14.76
DH0001,60.76,62.45,South_Zone,3.435,33.94,9.36
DH0001,62.45,64.34,South_Zone,2.559,43.39,5.76
DH0001,64.34,65.41,South_Zone,3.956,54.65,14.85
DH0001,65.41,66.78,South_Zone,4.77,40.38,9.86
DH0001,66.78,67.8,South_Zone,1.124,40.64,9.67
DH0001,67.8,68.83,South_Zone,0.335,41.45,9.72
DH0001,68.83,70.72,South_Zone,1.314,38.76,10.57
DH0001,70.72,72.06,South_Zone,4.579,67.31,11.91
DH0001,72.06,73.5,South_Zone,3.101,32.39,7.4
DH0001,73.5,75.47,South_Zone,1.213,47.39,16.22
DH0001,75.47,76.96,South_Zone,1.397,47.92,12.7
DH0001,76.96,78.53,South_Zone,0.976,40.35,17.85
DH0001,78.53,80.07,South_Zone,1.819,47.54,11.4
DH0001,80.07,81.6,South_Zone,1.354,45.65,19.35
DH0001,81.6,82.88,South_Zone,1.028,50.26,17.85
DH0001,82.88,84.36,South_Zone,0.313,55.57,13.47
DH0001,84.36,86.13,South_Zone,1.715,72.16,9.19
DH0001,86.13,87.99,South_Zone,1.797,45.98,20.07
DH0001,87.99,89.95,South_Zone,4.29,43.05,13.4
DH0001,89.95,91.79,South_Zone,1.497,30.36,21.28
DH0001,91.79,92.81,South_Zone,2.734,54.52,13.3
DH0001,92.81,93.95,South_Zone,1.773,44.81,13.53
DH0001,93.95,95.91,South_Zone,0.858,44.79,22.28
DH0001,95.91,96.92,South_Zone,0.755,43.58,21.69
DH0001,96.92,98.69,South_Zone,0.903,51.51,20.25
DH0001,98.69,100.3,South_Zone,0.79,47.86,9.8
DH0001,100.3,101.37,South_Zone,0.384,48.64,17.33
DH0001,101.37,103.32,South_Zone,1.215,51.65,15.68
DH0001,103.32,104.82,South_Zone,0.534,39.1,20.33
DH0001,104.82,105.89,South_Zone,0.701,43.42,22.36
DH0001,105.89,107.82,South_Zone,0.885,46.33,21.17
DH0001,107.82,109.3,South_Zone,1.239,48.14,9.74
DH0001,109.3,110.94,South_Zone,1.802,48.05,23.02
DH0001,110.94,112.39,South_Zone,0.876,49.13,12.47
DH0001,112.39,114.11,South_Zone,0.835,41.18,25.48
DH0001,114.11,115.63,South_Zone,0.831,53.34,8.83
DH0001,115.63,116.76,South_Zone,1.186,44.24,18.08
DH0001,116.76,118.04,South_Zone,0.342,45.63,18.91
DH0001,118.04,119.31,South_Zone,0.367,45.14,17.35
DH0001,119.31,121.2,South_Zone,1.087,52.54,17.67
DH0001,121.2,122.59,South_Zone,2.191,51.13,13.92
DH0001,122.59,124.25,South_Zone,0.283,45.29,20.81
DH0001,124.25,125.9,South_Zone,1.058,50.45,17.38
DH0001,125.9,127.4,South_Zone,0.479,46.74,10.98
DH0001,127.4,128.45,South_Zone,0.175,46.18,18.72
DH0001,128.45,130.3,South_Zone,1.015,60.62,16.63
DH0001,130.3,131.98,South_Zone,1.383,43.55,15.91
DH0001,131.98,133.63,South_Zone,0.923,33.16,26.19
DH0001,133.63,134.83,South_Zone,0.372,35.61,14.35
DH0001,134.83,135.89,South_Zone,0.328,48.71,10.37
DH0001,135.89,136.91,South_Zone,0.633,46.69,4.81
DH0001,136.91,138.31,South_Zone,1.161,48.09,20.69
DH0001,138.31,139.83,South_Zone,1.179,54.32,14.38
DH0001,139.83,141.6,South_Zone,1.081,49.15,22.9
DH0001,141.6,143.12,South_Zone,0.829,53.93,11.24
DH0001,143.12,145.09,South_Zone,0.801,43.38,10.91
DH0001,145.09,146.4,South_Zone,0.732,43.54,14.01
DH0001,146.4,147.88,South_Zone,0.391,39.79,22.15
DH0001,147.88,148.96,South_Zone,1.226,44.03,15.01
DH0001,148.96,150.1,South_Zone,0.718,47.06,21.3
DH0001,150.1,151.73,South_Zone,0.489,34.15,23.39
DH0001,151.73,153.08,South_Zone,0.261,30.66,22.99
DH0001,153.08,154.14,South_Zone,0.786,34.55,19.38
DH0001,154.14,156.1,South_Zone,0.601,31.87,17.88
DH0001,156.1,157.37,South_Zone,0.334,46.75,16.32
DH0001,157.37,158.81,South_Zone,0.54,33.84,21.79
DH0001,158.81,160.05,South_Zone,0.356,38.19,23.0
DH0001,160.05,161.31,South_Zone,0.385,40.79,20.65
DH0001,161.31,162.5,South_Zone,0.612,40.13,22.29
DH0001,162.5,164.48,South_Zone,0.575,33.78,16.15
DH0001,164.48,166.12,South_Zone,0.849,41.16,15.19
DH0001,166.12,167.89,South_Zone,0.786,38.96,22.51
DH0001,167.89,169.11,South_Zone,0.219,42.35,22.86
DH0001,169.11,170.21,South_Zone,0.594,37.57,16.82
DH0001,170.21,171.49,South_Zone,0.702,33.28,13.59
DH0001,171.49,173.25,South_Zone,0.315,40.35,25.58
DH0001,173.25,174.5,South_Zone,0.422,46.89,15.02
DH0001,174.5,175.74,South_Zone,0.142,40.16,20.86
DH0001,175.74,177.02,South_Zone,0.272,31.84,27.95
DH0001,177.02,178.6,South_Zone,0.358,44.79,23.12
DH0001,178.6,180.55,South_Zone,0.256,43.64,20.78
DH0001,180.55,182.03,South_Zone,0.723,33.37,17.8
DH0001,182.03,183.88,South_Zone,0.292,40.06,22.84
DH0001,183.88,185.03,South_Zone,0.228,41.83,25.11
DH0002,0.0,1.65,Central_Zone,2.392,27.77,13.28
DH0002,1.65,3.08,Central_Zone,2.352,21.53,9.07
DH0002,3.08,4.38,Central_Zone,5.459,33.81,16.87
DH0002,4.38,6.23,Central_Zone,2.456,51.55,8.08
DH0002,6.23,8.05,Central_Zone,2.968,28.24,9.61
DH0002,8.05,9.59,Central_Zone,2.774,49.18,14.2
DH0002,9.59,11.55,Central_Zone,0.529,48.34,15.88
DH0002,11.55,12.65,Central_Zone,2.443,46.85,11.27
DH0002,12.65,14.48,Central_Zone,2.453,41.41,16.35
DH0002,14.48,16.34,Central_Zone,2.539,37.53,7.6
DH0002,16.34,17.67,Central_Zone,3.77,54.38,11.9
DH0002,17.67,19.17,Central_Zone,1.87,47.56,15.4
DH0002,19.17,20.55,Central_Zone,1.752,45.64,15.1
DH0002,20.55,22.37,Central_Zone,0.999,42.06,9.36
DH0002,22.37,24.09,Central_Zone,2.792,58.87,7.01
DH0002,24.09,25.95,Central_Zone,2.164,51.93,8.82
DH0002,25.95,27.63,Central_Zone,1.542,39.8,24.06
DH0002,27.63,29.53,Central_Zone,2.814,45.7,8.08
DH0002,29.53,30.82,Central_Zone,0.673,56.13,8.11
DH0002,30.82,31.89,Central_Zone,1.967,44.79,9.46
DH0002,31.89,33.57,Central_Zone,3.149,43.47,14.16
DH0002,33.57,35.21,Central_Zone,3.876,40.87,10.78
DH0002,35.21,36.48,Central_Zone,0.906,45.77,14.54
DH0002,36.48,38.19,Central_Zone,1.764,30.03,8.05
DH0002,38.19,39.39,Central_Zone,3.638,32.14,10.26
DH0002,39.39,40.47,Central_Zone,2.975,39.53,9.19
DH0002,40.47,42.07,Central_Zone,0.55,52.98,22.06
DH0002,42.07,43.78,Central_Zone,0.626,41.26,13.41
DH0002,43.78,45.38,Central_Zone,1.476,50.04,19.95
DH0002,45.38,47.08,Central_Zone,0.537,46.62,17.78
DH0002,47.08,48.66,Central_Zone,2.368,49.97,8.84
DH0002,48.66,50.33,Central_Zone,1.41,42.81,17.3
DH0002,50.33,52.08,Central_Zone,0.397,45.37,26.39
DH0002,52.08,53.09,Central_Zone,1.909,32.08,12.07
DH0002,53.09,54.8,Central_Zone,2.931,50.68,7.9
DH0002,54.8,56.05,Central_Zone,1.455,51.82,14.46
DH0002,56.05,57.72,Central_Zone,2.989,49.53,5.8
DH0002,57.72,59.34,Central_Zone,0.662,40.77,26.85
DH0002,59.34,60.41,Central_Zone,1.277,52.6,9.41
DH0002,60.41,61.78,Central_Zone,0.685,45.53,22.56
DH0002,61.78,63.23,Central_Zone,1.615,41.9,9.92
DH0002,63.23,64.88,Central_Zone,0.01,37.6,12.91
DH0002,64.88,65.9,Central_Zone,0.855,48.02,21.97
DH0002,65.9,67.01,Central_Zone,0.595,48.75,15.93
DH0002,67.01,68.27,Central_Zone,1.471,41.77,18.68
DH0002,68.27,69.95,Central_Zone,1.282,41.95,12.41
DH0002,69.95,71.2,Central_Zone,0.128,51.2,23.24
DH0002,71.2,72.99,Central_Zone,0.967,41.13,11.18
DH0002,72.99,74.5,Central_Zone,0.919,29.3,14.4
DH0002,74.5,76.36,Central_Zone,1.207,49.05,18.82
DH0002,76.36,78.11,Central_Zone,0.648,50.15,13.06
DH0002,78.11,79.8,Central_Zone,1.467,48.67,26.72
DH0002,79.8,80.96,Central_Zone,1.059,50.55,14.1
DH0002,80.96,82.18,Central_Zone,1.056,39.49,21.0
DH0002,82.18,83.24,Central_Zone,0.832,43.81,18.56
DH0002,83.24,84.8,Central_Zone,1.423,56.05,6.35
DH0002,84.8,86.49,Central_Zone,0.6,33.51,24.06
DH0002,86.49,88.13,Central_Zone,1.079,49.51,13.42
DH0002,88.13,89.24,Central_Zone,1.417,43.16,15.64
DH0002,89.24,91.14,Central_Zone,0.558,31.89,19.3
DH0002,91.14,92.16,Central_Zone,0.586,36.18,28.11
DH0002,92.16,93.85,Central_Zone,0.888,46.22,20.53
DH0002,93.85,95.67,Central_Zone,0.01,37.25,21.28
DH0002,95.67,96.85,Central_Zone,0.515,37.64,25.07
DH0002,96.85,97.93,Central_Zone,0.517,44.7,21.98
DH0002,97.93,98.99,Central_Zone,0.613,39.03,17.35
DH0002,98.99,100.8,Central_Zone,0.277,36.56,14.98
DH0002,100.8,101.87,Central_Zone,0.159,48.81,18.87
DH0002,101.87,103.52,Central_Zone,0.537,50.55,21.07
DH0002,103.52,104.59,Central_Zone,1.054,46.98,21.66
DH0002,104.59,106.34,Central_Zone,0.128,38.23,25.22
DH0002,106.34,108.08,Central_Zone,1.058,40.75,19.53
DH0002,108.08,109.83,Central_Zone,0.381,43.77,24.35
DH0002,109.83,111.41,Central_Zone,0.693,39.54,15.13
DH0002,111.41,112.75,Central_Zone,0.411,34.96,16.97
DH0003,0.0,1.42,Central_Zone,1.675,35.92,14.56
DH0003,1.42,3.25,Central_Zone,2.541,33.21,12.39
DH0003,3.25,4.88,Central_Zone,1.758,46.78,8.21
DH0003,4.88,6.1,Central_Zone,2.636,46.3,14.85
DH0003,6.1,7.29,Central_Zone,2.408,33.93,4.15
DH0003,7.29,8.32,Central_Zone,5.758,44.8,5.74
DH0003,8.32,9.36,Central_Zone,2.337,39.66,10.12
DH0003,9.36,10.94,Central_Zone,2.316,48.05,14.45
DH0003,10.94,12.79,Central_Zone,2.383,39.96,13.64
DH0003,12.79,14.36,Central_Zone,1.322,46.98,17.32
DH0003,14.36,16.12,Central_Zone,2.657,58.16,15.87
DH0003,16.12,17.71,Central_Zone,2.064,39.19,18.25
DH0003,17.71,19.42,Central_Zone,2.363,43.27,11.17
DH0003,19.42,20.94,Central_Zone,2.248,47.0,15.54
DH0003,20.94,22.54,Central_Zone,2.752,51.37,14.23
DH0003,22.54,23.71,Central_Zone,1.672,50.09,17.37
DH0003,23.71,24.98,Central_Zone,0.835,44.99,10.41
DH0003,24.98,26.65,Central_Zone,4.684,60.54,12.56
DH0003,26.65,28.49,Central_Zone,1.324,75.62,6.69
DH0003,28.49,30.06,Central_Zone,1.55,56.04,18.29
DH0003,30.06,31.41,Central_Zone,4.847,43.56,8.97
DH0003,31.41,33.3,Central_Zone,3.015,41.59,9.5
DH0003,33.3,35.03,Central_Zone,1.97,44.03,15.28
DH0003,35.03,37.01,Central_Zone,1.654,38.12,13.37
DH0003,37.01,38.94,Central_Zone,2.047,40.59,5.81
DH0003,38.94,40.21,Central_Zone,0.438,38.3,9.55
DH0003,40.21,41.51,Central_Zone,2.642,35.84,6.82
DH0003,41.51,43.19,Central_Zone,1.496,44.66,15.52
DH0003,43.19,44.34,Central_Zone,1.496,46.59,4.86
DH0003,44.34,46.14,Central_Zone,1.101,45.18,5.72
DH0003,46.14,47.63,Central_Zone,3.438,54.15,8.35
DH0003,47.63,48.69,Central_Zone,3.15,61.41,13.39
DH0003,48.69,50.55,Central_Zone,3.318,42.21,12.54
DH0003,50.55,51.75,Central_Zone,0.01,30.31,8.73
DH0003,51.75,53.61,Central_Zone,3.743,60.63,9.18
DH0003,53.61,54.73,Central_Zone,2.814,32.45,8.95
DH0003,54.73,56.38,Central_Zone,5.722,59.77,6.5
DH0003,56.38,57.52,Central_Zone,1.41,37.85,11.33
DH0003,57.52,58.8,Central_Zone,0.985,48.4,20.23
DH0003,58.8,59.95,Central_Zone,1.638,42.69,13.54
DH0003,59.95,61.74,Central_Zone,2.733,38.18,7.97
DH0003,61.74,63.62,Central_Zone,3.142,57.29,8.09
DH0003,63.62,65.08,Central_Zone,3.05,53.29,9.92
DH0003,65.08,66.12,Central_Zone,2.851,43.13,3.29
DH0003,66.12,67.88,Central_Zone,0.01,64.39,5.8
DH0003,67.88,69.88,Central_Zone,1.786,45.81,15.0
DH0003,69.88,71.39,Central_Zone,0.645,48.13,22.43
DH0003,71.39,72.89,Central_Zone,5.102,57.0,9.34
DH0003,72.89,74.05,Central_Zone,1.816,48.3,5.45
DH0003,74.05,75.22,Central_Zone,3.401,59.29,8.16
DH0003,75.22,76.35,Central_Zone,1.577,41.29,21.71
DH0003,76.35,77.73,Central_Zone,5.654,46.14,14.6
DH0003,77.73,78.97,Central_Zone,5.923,46.38,11.52
DH0003,78.97,80.23,Central_Zone,1.298,40.97,23.73
DH0003,80.23,82.08,Central_Zone,1.366,51.2,13.19
DH0003,82.08,84.05,Central_Zone,1.323,53.76,14.42
DH0003,84.05,86.04,Central_Zone,2.37,37.01,7.54
DH0003,86.04,87.87,Central_Zone,0.574,45.19,12.23
DH0003,87.87,89.8,Central_Zone,2.889,33.52,10.26
DH0003,89.8,91.05,Central_Zone,0.01,53.25,12.45
DH0003,91.05,92.62,Central_Zone,1.483,52.19,21.18
DH0003,92.62,94.03,Central_Zone,1.159,56.36,6.68
DH0003,94.03,95.31,Central_Zone,1.497,26.15,10.69
DH0003,95.31,96.59,Central_Zone,4.555,31.32,15.96
DH0003,96.59,97.76,Central_Zone,2.167,52.15,12.56
DH0003,97.76,99.69,Central_Zone,1.826,59.46,22.05
DH0003,99.69,101.59,Central_Zone,2.353,45.93,6.61
DH0003,101.59,102.71,Central_Zone,2.406,57.1,21.01
DH0003,102.71,103.74,Central_Zone,0.724,48.46,19.29
DH0003,103.74,105.04,Central_Zone,0.579,36.55,13.7
DH0003,105.04,106.09,Central_Zone,0.675,42.66,5.75
DH0003,106.09,107.66,Central_Zone,3.284,44.06,13.98
DH0003,107.66,109.02,Central_Zone,1.206,38.63,9.8
DH0003,109.02,110.5,Central_Zone,0.345,37.22,14.79
DH0003,110.5,112.31,Central_Zone,0.362,28.82,21.64
DH0003,112.31,113.42,Central_Zone,0.544,41.68,27.83
DH0003,113.42,114.46,Central_Zone,0.626,46.13,18.8
DH0003,114.46,116.02,Central_Zone,0.616,39.33,17.17
DH0003,116.02,117.14,Central_Zone,1.29,50.92,16.92
DH0003,117.14,118.69,Central_Zone,0.885,50.42,20.14
DH0003,118.69,120.3,Central_Zone,0.967,46.27,12.65
DH0003,120.3,121.97,Central_Zone,0.307,47.01,14.6
DH0003,121.97,123.16,Central_Zone,0.6,46.25,18.77
DH0003,123.16,124.39,Central_Zone,1.709,50.12,16.72
DH0003,124.39,126.32,Central_Zone,1.011,47.15,25.86
DH0003,126.32,127.85,Central_Zone,0.919,57.76,15.49
DH0003,127.85,129.68,Central_Zone,1.276,55.53,16.84
DH0003,129.68,131.06,Central_Zone,0.949,43.27,18.11
DH0003,131.06,132.54,Central_Zone,1.536,37.41,16.87
DH0003,132.54,133.81,Central_Zone,1.157,57.05,14.54
DH0003,133.81,135.16,Central_Zone,1.873,45.15,18.37
DH0003,135.16,136.82,Central_Zone,1.032,50.66,12.24
DH0003,136.82,138.04,Central_Zone,0.076,55.57,16.36
DH0003,138.04,139.46,Central_Zone,0.498,35.8,19.1
DH0003,139.46,140.47,Central_Zone,0.634,50.07,16.13
DH0003,140.47,142.34,Central_Zone,0.448,37.03,19.58
DH0003,142.34,143.38,Central_Zone,1.021,47.51,17.09
DH0003,143.38,145.17,Central_Zone,1.216,48.58,15.48
DH0003,145.17,146.57,Central_Zone,0.08,41.7,15.92
DH0003,146.57,148.47,Central_Zone,1.667,44.22,18.35
DH0003,148.47,149.9,Central_Zone,0.423,43.28,22.54
DH0003,149.9,151.83,Central_Zone,0.926,36.09,14.95
DH0003,151.83,153.7,Central_Zone,1.539,43.35,17.95
DH0003,153.7,155.14,Central_Zone,0.871,52.04,6.15
DH0003,155.14,156.3,Central_Zone,1.504,52.29,17.14
DH0003,156.3,157.57,Central_Zone,1.115,58.19,13.67
DH0003,157.57,158.63,Central_Zone,1.984,42.84,20.63
DH0003,158.63,159.89,Central_Zone,0.259,38.44,22.44
DH0003,159.89,161.12,Central_Zone,1.581,41.12,20.58
DH0003,161.12,162.94,Central_Zone,1.686,50.89,14.52
DH0003,162.94,164.3,Central_Zone,1.012,46.76,21.03
DH0003,164.3,165.88,Central_Zone,0.935,38.6,12.7
DH0003,165.88,167.5,Central_Zone,0.282,43.29,23.72
DH0003,167.5,168.7,Central_Zone,0.663,44.64,22.17
DH0003,168.7,170.26,Central_Zone,0.799,36.38,22.35
DH0003,170.26,171.36,Central_Zone,1.002,45.28,22.47
DH0003,171.36,173.04,Central_Zone,2.012,53.5,9.4
DH0003,173.04,174.31,Central_Zone,1.148,43.64,15.85
DH0003,174.31,175.55,Central_Zone,0.358,43.55,24.29
DH0003,175.55,176.59,Central_Zone,0.698,38.57,11.54
DH0003,176.59,178.52,Central_Zone,0.505,39.89,19.26
DH0003,178.52,179.55,Central_Zone,0.503,47.22,11.17
DH0003,179.55,180.72,Central_Zone,0.666,40.39,26.49
DH0003,180.72,182.22,Central_Zone,1.185,40.98,16.81
DH0003,182.22,183.56,Central_Zone,0.14,36.88,19.01
DH0003,183.56,185.09,Central_Zone,0.911,40.56,20.61
DH0003,185.09,186.77,Central_Zone,0.565,41.26,22.61
DH0003,186.77,188.4,Central_Zone,0.259,45.83,15.02
DH0003,188.4,189.96,Central_Zone,0.372,41.44,26.14
DH0003,189.96,191.74,Central_Zone,0.403,33.51,16.97
DH0003,191.74,192.75,Central_Zone,0.783,53.83,20.4
DH0003,192.75,194.13,Central_Zone,0.347,33.06,17.62
DH0003,194.13,195.22,Central_Zone,0.591,41.37,24.28
DH0003,195.22,197.22,Central_Zone,0.627,37.19,24.06
DH0003,197.22,198.52,Central_Zone,0.962,45.71,16.83
DH0003,198.52,200.16,Central_Zone,0.48,48.66,22.81
DH0003,200.16,201.86,Central_Zone,0.6,45.42,22.98
DH0003,201.86,203.04,Central_Zone,1.032,37.7,13.05
DH0003,203.04,204.66,Central_Zone,0.256,37.04,29.66
DH0003,204.66,206.2,Central_Zone,0.407,45.9,29.11
DH0003,206.2,207.44,Central_Zone,1.191,39.9,16.65
DH0003,207.44,209.05,Central_Zone,0.138,39.38,25.86
DH0003,209.05,210.78,Central_Zone,0.444,50.82,22.39
DH0003,210.78,212.34,Central_Zone,0.324,38.13,19.38
DH0003,212.34,214.1,Central_Zone,0.967,34.13,25.7
DH0003,214.1,215.56,Central_Zone,0.426,41.09,16.08
DH0003,215.56,215.96,Central_Zone,0.546,37.53,15.0
DH0004,0.0,1.66,Central_Zone,2.526,33.47,4.94
DH0004,1.66,2.77,Central_Zone,4.4,33.82,15.98
DH0004,2.77,3.83,Central_Zone,1.565,49.0,10.39
DH0004,3.83,4.99,Central_Zone,0.363,53.92,8.67
DH0004,4.99,6.38,Central_Zone,1.511,59.32,16.76
DH0004,6.38,8.25,Central_Zone,1.948,53.13,12.5
DH0004,8.25,10.16,Central_Zone,1.167,41.41,11.7
DH0004,10.16,11.59,Central_Zone,2.762,44.54,11.82
DH0004,11.59,13.22,Central_Zone,1.502,46.95,9.7
DH0004,13.22,14.35,Central_Zone,3.171,36.86,9.7
DH0004,14.35,15.86,Central_Zone,1.406,40.22,20.19
DH0004,15.86,17.67,Central_Zone,5.965,38.25,8.79
DH0004,17.67,19.11,Central_Zone,1.905,37.28,11.06
DH0004,19.11,20.33,Central_Zone,5.641,48.46,13.3
DH0004,20.33,21.68,Central_Zone,3.95,49.44,13.3
DH0004,21.68,23.46,Central_Zone,1.841,46.61,6.62
DH0004,23.46,25.09,Central_Zone,2.204,43.16,9.54
DH0004,25.09,26.85,Central_Zone,1.789,47.35,6.35
DH0004,26.85,28.04,Central_Zone,2.248,43.72,8.32
DH0004,28.04,29.55,Central_Zone,2.263,46.89,7.82
DH0004,29.55,30.62,Central_Zone,2.511,46.57,13.07
DH0004,30.62,32.58,Central_Zone,5.024,50.96,8.54
DH0004,32.58,33.66,Central_Zone,3.485,45.52,6.82
DH0004,33.66,34.9,Central_Zone,2.883,46.31,9.0
DH0004,34.9,36.46,Central_Zone,5.341,34.88,6.66
DH0004,36.46,37.95,Central_Zone,4.671,62.7,10.33
DH0004,37.95,39.68,Central_Zone,3.109,41.73,9.36
DH0004,39.68,40.86,Central_Zone,1.456,59.61,22.08
DH0004,40.86,41.93,Central_Zone,2.442,50.03,8.96
DH0004,41.93,43.76,Central_Zone,2.888,44.39,11.5
DH0004,43.76,45.09,Central_Zone,0.933,58.27,9.26
DH0004,45.09,46.93,Central_Zone,0.802,50.55,24.4
DH0004,46.93,48.33,Central_Zone,0.01,48.98,7.51
DH0004,48.33,49.73,Central_Zone,1.802,33.26,9.41
DH0004,49.73,51.14,Central_Zone,4.981,33.2,10.79
DH0004,51.14,52.62,Central_Zone,3.315,36.88,9.85
DH0004,52.62,54.4,Central_Zone,2.308,51.15,15.34
DH0004,54.4,56.19,Central_Zone,1.069,62.65,16.01
DH0004,56.19,57.61,Central_Zone,1.766,26.6,9.9
DH0004,57.61,59.35,Central_Zone,1.431,44.38,12.56
DH0004,59.35,60.75,Central_Zone,5.045,47.29,13.22
DH0004,60.75,62.64,Central_Zone,4.371,40.61,10.43
DH0004,62.64,63.82,Central_Zone,1.613,44.22,14.25
DH0004,63.82,65.13,Central_Zone,0.422,59.18,14.37
DH0004,65.13,66.22,Central_Zone,1.3,39.07,18.47
DH0004,66.22,67.5,Central_Zone,1.868,55.1,17.46
DH0004,67.5,69.07,Central_Zone,1.7,50.88,18.99
DH0004,69.07,71.06,Central_Zone,0.795,38.18,18.89
DH0004,71.06,72.28,Central_Zone,1.425,48.0,23.75
DH0004,72.28,73.96,Central_Zone,1.596,52.71,13.97
DH0004,73.96,75.17,Central_Zone,0.092,42.8,20.75
DH0004,75.17,76.47,Central_Zone,0.828,45.27,19.62
DH0004,76.47,77.6,Central_Zone,1.408,51.19,26.11
DH0004,77.6,78.81,Central_Zone,0.856,37.32,24.45
DH0004,78.81,80.04,Central_Zone,1.582,43.0,14.81
DH0004,80.04,81.83,Central_Zone,1.002,36.54,13.97
DH0004,81.83,82.89,Central_Zone,0.622,46.25,15.73
DH0004,82.89,84.2,Central_Zone,0.487,43.59,17.74
DH0004,84.2,85.89,Central_Zone,0.727,34.33,24.92
DH0004,85.89,87.4,Central_Zone,0.677,48.17,22.95
DH0004,87.4,89.26,Central_Zone,0.892,47.23,19.7
DH0004,89.26,90.92,Central_Zone,0.845,37.87,21.61
DH0004,90.92,92.66,Central_Zone,0.839,51.32,16.16
DH0004,92.66,93.83,Central_Zone,1.098,58.84,16.25
DH0004,93.83,95.0,Central_Zone,0.915,33.28,20.85
DH0004,95.0,96.72,Central_Zone,0.77,61.77,19.89
DH0004,96.72,98.43,Central_Zone,1.389,50.84,22.69
DH0004,98.43,100.12,Central_Zone,1.381,51.65,16.9
DH0004,100.12,102.01,Central_Zone,0.322,40.36,20.75
DH0004,102.01,103.64,Central_Zone,0.899,36.35,15.91
DH0004,103.64,104.65,Central_Zone,0.509,39.7,20.89
DH0004,104.65,106.01,Central_Zone,0.01,44.71,20.06
DH0004,106.01,107.52,Central_Zone,0.914,41.07,17.75
DH0004,107.52,109.11,Central_Zone,1.02,38.09,22.04
DH0004,109.11,110.76,Central_Zone,0.455,31.72,18.86
DH0004,110.76,112.51,Central_Zone,0.869,31.64,19.99
DH0004,112.51,114.44,Central_Zone,0.606,32.95,18.37
DH0004,114.44,115.44,Central_Zone,0.372,40.72,22.45
DH0004,115.44,117.36,Central_Zone,0.513,40.17,15.83
DH0004,117.36,118.71,Central_Zone,1.037,44.04,19.57
DH0004,118.71,120.52,Central_Zone,0.464,49.52,17.58
DH0004,120.52,122.02,Central_Zone,0.268,44.02,21.97
DH0004,122.02,123.92,Central_Zone,0.689,41.24,13.5
DH0005,0.0,1.99,North_Zone,1.33,58.04,11.99
DH0005,1.99,3.33,North_Zone,4.616,39.47,7.65
DH0005,3.33,4.4,North_Zone,1.192,36.73,5.34
DH0005,4.4,5.77,North_Zone,0.01,44.14,9.55
DH0005,5.77,7.07,North_Zone,1.539,38.92,13.15
DH0005,7.07,8.71,North_Zone,1.945,52.43,14.34
DH0005,8.71,9.88,North_Zone,5.024,40.88,9.51
DH0005,9.88,11.16,North_Zone,1.97,49.46,3.07
DH0005,11.16,12.32,North_Zone,1.828,26.25,14.62
DH0005,12.32,13.97,North_Zone,2.449,40.23,9.03
